Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
550.69	100.00	2.4142	0.41422	20.659	25.240	116.56	41.266	49.704	586.71	0.011168	18.284	0.078896	vapor
551.69	100.00	2.4098	0.41498	20.700	25.290	116.66	41.325	49.763	587.18	0.011104	18.308	0.079099	vapor
552.69	100.00	2.4054	0.41574	20.741	25.340	116.75	41.385	49.822	587.64	0.011040	18.333	0.079303	vapor
553.69	100.00	2.4010	0.41649	20.783	25.390	116.84	41.445	49.882	588.10	0.010976	18.357	0.079507	vapor
554.69	100.00	2.3966	0.41725	20.824	25.440	116.93	41.505	49.941	588.57	0.010913	18.382	0.079711	vapor
555.69	100.00	2.3923	0.41801	20.866	25.490	117.02	41.565	50.000	589.03	0.010850	18.406	0.079915	vapor
556.69	100.00	2.3880	0.41876	20.908	25.540	117.11	41.625	50.060	589.49	0.010787	18.430	0.080120	vapor
557.69	100.00	2.3837	0.41952	20.949	25.590	117.20	41.684	50.119	589.95	0.010725	18.455	0.080324	vapor
558.69	100.00	2.3794	0.42028	20.991	25.640	117.29	41.744	50.178	590.42	0.010664	18.479	0.080529	vapor
559.69	100.00	2.3751	0.42104	21.033	25.690	117.37	41.804	50.237	590.88	0.010602	18.503	0.080734	vapor
560.69	100.00	2.3708	0.42179	21.075	25.740	117.46	41.863	50.297	591.34	0.010541	18.527	0.080939	vapor
561.69	100.00	2.3666	0.42255	21.117	25.791	117.55	41.923	50.356	591.80	0.010480	18.552	0.081144	vapor
562.69	100.00	2.3624	0.42331	21.159	25.841	117.64	41.983	50.415	592.26	0.010420	18.576	0.081349	vapor
563.69	100.00	2.3581	0.42406	21.201	25.892	117.73	42.042	50.474	592.72	0.010360	18.600	0.081555	vapor
564.69	100.00	2.3539	0.42482	21.243	25.942	117.82	42.102	50.533	593.18	0.010301	18.624	0.081760	vapor
565.69	100.00	2.3497	0.42558	21.285	25.993	117.91	42.162	50.592	593.63	0.010241	18.648	0.081966	vapor
566.69	100.00	2.3456	0.42633	21.328	26.043	118.00	42.221	50.651	594.09	0.010182	18.672	0.082172	vapor
567.69	100.00	2.3414	0.42709	21.370	26.094	118.09	42.281	50.710	594.55	0.010124	18.696	0.082378	vapor
568.69	100.00	2.3373	0.42785	21.412	26.145	118.18	42.340	50.770	595.01	0.010065	18.720	0.082584	vapor
569.69	100.00	2.3332	0.42860	21.455	26.196	118.27	42.400	50.829	595.46	0.010007	18.745	0.082790	vapor
570.69	100.00	2.3290	0.42936	21.497	26.246	118.36	42.459	50.888	595.92	0.0099498	18.769	0.082997	vapor
571.69	100.00	2.3249	0.43012	21.540	26.297	118.45	42.519	50.947	596.38	0.0098925	18.793	0.083203	vapor
572.69	100.00	2.3209	0.43088	21.582	26.348	118.54	42.578	51.006	596.83	0.0098356	18.817	0.083410	vapor
573.69	100.00	2.3168	0.43163	21.625	26.399	118.63	42.638	51.065	597.29	0.0097790	18.841	0.083617	vapor
574.69	100.00	2.3127	0.43239	21.668	26.450	118.72	42.697	51.123	597.74	0.0097227	18.864	0.083824	vapor
575.69	100.00	2.3087	0.43315	21.710	26.502	118.80	42.756	51.182	598.20	0.0096667	18.888	0.084031	vapor
576.69	100.00	2.3047	0.43390	21.753	26.553	118.89	42.816	51.241	598.65	0.0096110	18.912	0.084238	vapor
577.69	100.00	2.3007	0.43466	21.796	26.604	118.98	42.875	51.300	599.11	0.0095557	18.936	0.084445	vapor
578.69	100.00	2.2967	0.43542	21.839	26.655	119.07	42.934	51.359	599.56	0.0095007	18.960	0.084653	vapor
